Player,Team,#,Nation,Position,Age,Minutes,Goals,Assists,Penalty Shoot on Goal,Penalty Shoot,Total Shoot,Shoot on Target,Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Pass Completion %,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles,Date
Vitinha,Genoa,9,POR,FW,24-155,90,0,0,0,0,3,1,0,0,28,0,0,2,0.2,0.2,0.0,5,0,8,13,"61,5",1,16,3,6,5,2024-08-17
Junior Messias,Genoa,10,BRA,"FW,RW",33-096,90,1,0,0,1,2,2,0,0,23,0,1,0,1.0,0.0,0.1,4,1,6,8,"75,0",1,13,1,4,1,2024-08-17
Morten Frendrup,Genoa,32,DEN,CM,23-132,90,0,0,0,0,1,1,0,0,34,1,3,2,0.0,0.0,0.0,1,0,20,23,"87,0",3,13,0,1,1,2024-08-17
Milan Badelj,Genoa,47,CRO,CM,35-174,85,0,0,0,0,1,0,0,0,38,1,0,2,0.1,0.1,0.1,2,0,23,28,"82,1",2,20,0,2,1,2024-08-17
Jeff Ekhator,Genoa,21,ITA,LW,17-280,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,2,"50,0",0,2,0,0,0,2024-08-17
Ruslan Malinovskyi,Genoa,17,UKR,CM,31-105,70,0,0,0,0,1,0,0,0,29,1,1,0,0.0,0.0,0.0,1,0,22,25,"88,0",4,18,1,0,0,2024-08-17
Morten Thorsby,Genoa,2,NOR,CM,28-104,20,0,0,0,0,1,0,0,0,6,0,0,1,0.1,0.1,0.0,0,0,2,4,"50,0",1,4,0,0,0,2024-08-17
Aarón Martín,Genoa,3,ESP,"WB,LM",27-117,90,0,0,0,0,0,0,0,0,40,3,1,0,0.0,0.0,0.0,2,0,20,32,"62,5",1,19,2,2,1,2024-08-17
Alessandro Zanoli,Genoa,59,ITA,WB,23-319,70,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,3,6,"50,0",0,4,0,0,0,2024-08-17
Stefano Sabelli,Genoa,20,ITA,"WB,RM",31-217,20,0,0,0,0,1,0,0,0,10,0,1,1,0.0,0.0,0.1,1,0,2,5,"40,0",0,5,0,0,0,2024-08-17
Koni De Winter,Genoa,4,BEL,CB,22-066,90,0,0,0,0,0,0,0,0,39,2,0,0,0.0,0.0,0.0,1,0,25,31,"80,6",1,17,2,0,0,2024-08-17
Mattia Bani,Genoa,13,ITA,CB,30-251,90,0,0,0,0,1,1,0,0,25,1,3,0,0.0,0.0,0.0,1,1,13,17,"76,5",0,9,0,0,0,2024-08-17
Alessandro Vogliacco,Genoa,14,ITA,CB,25-338,59,1,0,0,0,1,1,0,0,30,1,2,1,0.7,0.7,0.0,1,0,20,24,"83,3",2,18,0,0,0,2024-08-17
Johan Vásquez,Genoa,22,MEX,CB,25-300,31,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,4,9,"44,4",0,2,0,0,0,2024-08-17
